bean_id,rating,aroma,acidity,body,flavor,aftertaste
242,94,9.0,9.0,9.0,9.0,8.0
243,93,9.0,8.0,9.0,9.0,8.0
244,92,9.0,8.0,8.0,9.0,8.0
245,95,9.0,9.0,9.0,9.0,9.0
246,95,9.0,9.0,9.0,9.0,9.0
247,93,9.0,8.0,9.0,9.0,8.0
248,92,9.0,8.0,8.0,9.0,8.0
249,94,9.0,9.0,9.0,9.0,8.0
250,93,9.0,8.0,9.0,9.0,8.0
251,96,9.0,9.0,9.0,10.0,9.0
252,93,9.0,8.0,9.0,9.0,8.0
253,93,9.0,8.0,9.0,9.0,8.0
254,94,9.0,9.0,9.0,9.0,8.0
255,95,9.0,9.0,9.0,9.0,9.0
256,94,9.0,9.0,9.0,9.0,8.0
257,93,9.0,9.0,8.0,9.0,8.0
258,95,9.0,9.0,9.0,9.0,9.0
259,91,8.0,8.0,8.0,9.0,8.0
260,93,9.0,9.0,8.0,9.0,8.0
261,94,9.0,9.0,9.0,9.0,8.0
262,84,7.0,6.0,7.0,7.0,7.0
263,92,9.0,8.0,8.0,9.0,8.0
264,92,9.0,8.0,8.0,9.0,8.0
265,94,9.0,9.0,9.0,9.0,8.0
266,93,9.0,8.0,9.0,9.0,8.0
267,96,9.0,9.0,9.0,10.0,9.0
268,91,8.0,8.0,8.0,9.0,8.0
269,95,9.0,9.0,9.0,9.0,9.0
270,94,9.0,9.0,9.0,9.0,8.0
271,92,9.0,8.0,8.0,9.0,8.0
272,94,9.0,9.0,9.0,9.0,8.0
273,94,9.0,8.0,9.0,9.0,9.0
274,92,9.0,8.0,8.0,9.0,8.0
275,93,9.0,8.0,9.0,9.0,8.0
276,95,9.0,9.0,9.0,10.0,8.0
277,88,8.0,7.0,8.0,8.0,7.0
278,94,9.0,9.0,9.0,9.0,8.0
279,93,9.0,8.0,9.0,9.0,8.0
280,92,9.0,8.0,9.0,9.0,7.0
281,93,9.0,8.0,9.0,9.0,8.0
282,94,9.0,9.0,9.0,9.0,8.0
283,92,9.0,8.0,8.0,9.0,8.0
284,93,9.0,8.0,9.0,9.0,8.0
285,93,9.0,8.0,9.0,9.0,8.0
286,92,9.0,8.0,8.0,9.0,8.0
287,93,9.0,9.0,8.0,9.0,8.0
288,93,9.0,9.0,8.0,9.0,8.0
289,95,9.0,9.0,9.0,9.0,9.0
290,93,9.0,9.0,8.0,9.0,8.0
291,92,8.0,8.0,9.0,9.0,8.0
292,93,9.0,9.0,8.0,9.0,8.0
293,95,9.0,9.0,9.0,9.0,9.0
294,94,9.0,9.0,9.0,9.0,8.0
295,95,9.0,9.0,9.0,9.0,9.0
296,93,9.0,9.0,8.0,9.0,8.0
297,94,9.0,8.0,9.0,9.0,9.0
298,95,9.0,9.0,9.0,9.0,9.0
299,94,9.0,9.0,9.0,9.0,8.0
300,94,9.0,9.0,9.0,9.0,8.0
301,93,9.0,9.0,8.0,9.0,8.0
302,93,9.0,8.0,9.0,9.0,8.0
303,94,9.0,9.0,9.0,9.0,8.0
304,93,9.0,9.0,8.0,9.0,8.0
305,93,9.0,8.0,9.0,9.0,8.0
306,94,9.0,9.0,9.0,9.0,8.0
307,93,9.0,8.0,9.0,9.0,8.0
308,94,9.0,9.0,9.0,9.0,8.0
309,93,9.0,9.0,8.0,9.0,8.0
310,94,9.0,9.0,9.0,9.0,8.0
